rep_seq	S1	S2	S3
S1_CAIHDJAA_00411	95.6711	NA	NA
S1_CAIHDJAA_00412	93.2056	NA	NA
S1_CAIHDJAA_00413	102.4845	NA	NA
S1_CAIHDJAA_00414	99.3639	NA	NA
S1_CAIHDJAA_00415	123.4521	NA	NA
S1_CAIHDJAA_00416	113.2606	NA	NA
S1_CAIHDJAA_00417	99.8556	NA	NA
S1_CAIHDJAA_00418	82.4342	NA	NA
S1_CAIHDJAA_00419	104.2855	NA	NA
S1_CAIHDJAA_00420	104.4428	NA	NA
S1_CAIHDJAA_00421	96.9325	NA	NA
S1_CAIHDJAA_00422	115.7382	NA	NA
S1_CAIHDJAA_00423	101.6578	NA	NA
S1_CAIHDJAA_00424	89.8111	NA	NA
S1_CAIHDJAA_00425	110.8221	NA	NA
S1_CAIHDJAA_00426	101.9542	NA	NA
S1_CAIHDJAA_00427	80.6303	NA	NA
S1_CAIHDJAA_00428	99.9138	NA	NA
S1_CAIHDJAA_00429	103.2872	NA	NA
S1_CAIHDJAA_00430	97.5057	NA	NA
S1_CAIHDJAA_00431	111.8554	NA	NA
S1_CAIHDJAA_00432	102.1058	NA	NA
S1_CAIHDJAA_00433	100.5182	NA	NA
S1_CAIHDJAA_00434	100.0897	NA	NA
S1_CAIHDJAA_00435	92.6786	NA	NA
S1_CAIHDJAA_00436	107.4632	NA	NA
S1_CAIHDJAA_00437	98.0594	NA	NA
S1_CAIHDJAA_00438	99.6296	NA	NA
S1_CAIHDJAA_00439	104.3844	NA	NA
S1_CAIHDJAA_00440	97.7148	NA	NA
S1_CAIHDJAA_00441	101.6424	NA	NA
S1_CAIHDJAA_00442	103.2968	NA	NA
S1_CAIHDJAA_00443	102.9622	NA	NA
S1_CAIHDJAA_00444	111.5148	NA	NA
S1_CAIHDJAA_00445	103.2237	NA	NA
S1_CAIHDJAA_00446	109.7412	NA	NA
S1_CAIHDJAA_00447	103.8484	NA	NA
S1_CAIHDJAA_00448	94.5436	NA	NA
S1_CAIHDJAA_00449	95.1261	NA	NA
S1_CAIHDJAA_00450	117	NA	NA
S1_CAIHDJAA_00451	107.7074	NA	NA
S1_CAIHDJAA_00452	98.1209	NA	NA
S1_CAIHDJAA_00453	95.4187	NA	NA
S1_CAIHDJAA_00454	96.5619	NA	NA
S1_CAIHDJAA_00455	103.6605	NA	NA
S1_CAIHDJAA_00456	103.3072	NA	NA
S1_CAIHDJAA_00457	102.7488	NA	NA
S1_CAIHDJAA_00458	114.4184	NA	NA
S1_CAIHDJAA_00459	85.4872	NA	NA
S1_CAIHDJAA_00460	98.9718	NA	NA
S1_CAIHDJAA_00461	105.0275	NA	NA
S1_CAIHDJAA_00462	93.0518	NA	NA
S1_CAIHDJAA_00463	111.701	NA	NA
S1_CAIHDJAA_00464	112.7875	NA	NA
S1_CAIHDJAA_00465	100.9083	NA	NA
S1_CAIHDJAA_00466	99.4239	NA	NA
S1_CAIHDJAA_00467	95.7918	NA	NA
S1_CAIHDJAA_00468	96.2253	NA	NA
S1_CAIHDJAA_00469	89.9321	NA	NA
